SDK_name,weight,develop_file,aar_jar_path,remarks,
com.tencent.klevin,0,https://yky.qq.com/doc/android/android-install,klevin,Ad Networks,
com.sigmob.sdk,0,https://doc.sigmob.com/#/Sigmob%E4%BD%BF%E7%94%A8%E6%8C%87%E5%8D%97/SDK%E9%9B%86%E6%88%90%E8%AF%B4%E6%98%8E/Android/SDK%E6%8E%A5%E5%85%A5%E9%85%8D%E7%BD%AE/,SigMob,Advertising Network Integration Platform,
com.mbridge.msdk,0,https://dev.mintegral.com/doc/index.html?file=sdk-m_sdk-android&lang=en,mintegral,Ad Networks,
com.mcto.sspsdk,0,/,iQiyi,Not support,
cn.jiguang.ads,0,https://gitee.com/jiguang-official/jgads-sdk-android-demo,jiguang,Advertising Network Integration Platform,
com.yahoo.ads,0,https://sdk.yahooinc.com/yahoo-ads/integration.html,Yahoo,Ad Networks,
com.tappx.sdk,0,https://developers.tappx.com/en/android/sdk-integration-android-studio/1_dependency/,tappx,Ad Networks,
com.snap.adkit,0,/,snap,Not support,
com.adcolony,0,https://github.com/AdColony/AdColony-Android-SDK/wiki/Project-Setup,adcolony,Ad Networks,
com.kakao.adfit,0,https://github.com/adfit/adfit-android-sdk/blob/master/docs/GUIDE.md#%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%EC%97%90-adfit-sdk-%EC%B6%94%EA%B0%80%ED%95%98%EA%B8%B0,adfit,Ad Networks,
com.applovin,0,https://dash.applovin.com/documentation/mediation/android/getting-started/integration,applovin,Ad Networks,
com.appnext.sdk,0,https://developers.appnext.com/docs/android-sdk-installation,appnext,Ad Networks,
com.appodeal.ads,0,https://wiki.appodeal.com/en/android/get-started,appodeal,Ad Networks,
com.facebook.android,0,https://developers.facebook.com/docs/audience-network/setting-up/platform-setup/android/get-started,facebook,Ad Networks,
io.bidmachine,0,https://docs.bidmachine.io/docs/in-house-mediation,bidmachine,Ad Networks,
com.chartboost,0,https://answers.chartboost.com/en-us/child_article/android-integration,chartboost,Ad Networks,
com.criteo.publisher,0,https://publisherdocs.criteotilt.com/app/android/get-started/,criteo,Ad Networks,
com.hyprmx.android,0,https://documentation.hyprmx.com/android-sdk/,hyprmx,Ad Networks,
net.kidoz.sdk,0,https://github.com/Kidoz-SDK/KIDOZ_Android_SDK_Example-Android-Studio,kidoz,Ad Networks,
co.ogury,0,https://ogury-ltd.gitbook.io/android/,ogury,Ad Networks,
com.pollfish,0,https://www.pollfish.com/docs/android/google-play,pollfish,Ad Networks,
com.pubmatic.sdk,0,/,pubmatic,Not Support,
com.smaato.android.sdk,0,https://developers.smaato.com/publishers/android-nextgen-sdk-integration/,smaato,Ad Networks,
com.smartadserver.android,0,https://documentation.smartadserver.com/instreamSDK/android/gettingstarted.html,smartadserver,Ad Networks,
com.startapp,0,https://github.com/StartApp-SDK/StartApp_InApp_SDK_Example,startapp,Ad Networks,
com.taboola,0,https://developers.taboola.com/taboolasdk/docs/android-sdk-3x-classic-first-steps,taboola,Ad Networks,
com.vungle,0,https://support.vungle.com/hc/en-us/articles/360002922871-Integrate-Vungle-SDK-for-Android-or-Amazon#initialize-the-sdk-0-11,vungle,Ad Networks,
com.my.target,0,https://target.my.com/help/partners/mob/androidsdkstart/en,mytarget,Ad Networks,
com.brightcove.player,0,https://sdks.support.brightcove.com/android/basics/step-step-simple-video-app-using-native-sdk-android.html,brightcove,Advertising Network Integration Platform,
com.maio,0,https://github.com/imobile-maio/maio-Android-SDK,maio,Ad Networks,
com.google.android.gms,0,https://developers.google.com/admob/android/quick-start,google,Ad Networks,
com.tapjoy,0,https://dev.tapjoy.com/jp/android-sdk/Manual-Integration,tapjoy,Ad Networks,
com.verizon.ads,0,https://vas-docs-service.one-mobile-prod.aws.oath.cloud/standard-edition/integration.html,verizon,Ad Networks,
com.google.ads.interactivemedia.v3,0,https://developers.google.com/interactive-media-ads/docs/sdks/android/client-side,interactivemedia,Ad Networks,
com.adform.advertising.sdk,0,https://github.com/adform/adform-android-sdk/wiki/Getting-Started,adform,Ad Networks,
com.tapit.advertising,14,tapit/TapIt Android SDK.pdf,tapit,Not support,
com.rekmob.ads,11,https://github.com/rekmob/android-sdk/wiki,rekmob,Ad Networks,
com.playerize.superrewards,9,/,superrewards,Not support,
com.admarvel,6,/,admarvel,Not support,
com.ad_stir,5,https://github.com/united-adstir/AdStir-Integration-Guide-Android/blob/master/README.en.md,adstir,Ad Networks,
com.heyzap,5,/,heyzap,Not support,
com.Leadbolt,5,/,LeadBolt,Not support,
com.purplebrain.adbuddiz,4,https://github.com/kivy/kivy/wiki/AdBuddiz-Android-advertisements-integration-for-Kivy-apps,adbuddiz,Ad Networks,
com.zestadz.android,4,/,zestadz,Not support,
com.lifestreet.android,3,/,lifestreet,Not support,
com.adtech.mobilesdk,3,/,adtech,Not support,
com.vdopia,3,https://chocolateplatform.com/android/?app_dev_framework=android,vdopia,Advertising Network Integration Platform,
com.mobisage,3,/,mobisage,Not support,
com.jumptap.adtag,3,/,jumptap,Not support,
com.adlocus.pushAd,2,https://wiki.adlocus.com/index.php?title=Android_SDK_Setting,adlocus,Ad Networks,
com.adgoji,2,/,adgoji,Not support,
